,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_deg,param_k,param_kernel,param_s,param_gamma,params,split0_test_score,mean_test_score,std_test_score,rank_test_score,dataset
22,40.03726840019226,0.0,0.008140325546264648,0.0,,30,rbf,,1,"{'gamma': 1, 'k': 30, 'kernel': 'rbf', 's': None}",-17.470716843797497,-17.470716843797497,0.0,33,tortuga100k_noise_white_1.00e-02
23,40.23782181739807,0.0,0.007605552673339844,0.0,,30,rbf,10,1,"{'gamma': 1, 'k': 30, 'kernel': 'rbf', 's': 10}",-17.470716843797497,-17.470716843797497,0.0,33,tortuga100k_noise_white_1.00e-02
24,41.362632751464844,0.0,0.008132696151733398,0.0,,30,rbf,0,1,"{'gamma': 1, 'k': 30, 'kernel': 'rbf', 's': 0}",-17.470716843797497,-17.470716843797497,0.0,33,tortuga100k_noise_white_1.00e-02
25,43.5892972946167,0.0,0.0067157745361328125,0.0,,50,rbf,,1,"{'gamma': 1, 'k': 50, 'kernel': 'rbf', 's': None}",-10.36068288453421,-10.36068288453421,0.0,15,tortuga100k_noise_white_1.00e-02
26,43.79082536697388,0.0,0.006795167922973633,0.0,,50,rbf,10,1,"{'gamma': 1, 'k': 50, 'kernel': 'rbf', 's': 10}",-10.36068288453421,-10.36068288453421,0.0,15,tortuga100k_noise_white_1.00e-02
27,60.950231313705444,0.0,0.01821112632751465,0.0,,50,rbf,0,1,"{'gamma': 1, 'k': 50, 'kernel': 'rbf', 's': 0}",-14.917614868766876,-14.917614868766876,0.0,26,tortuga100k_noise_white_1.00e-02
28,53.40678596496582,0.0,0.008699417114257812,0.0,,100,rbf,,1,"{'gamma': 1, 'k': 100, 'kernel': 'rbf', 's': None}",-7.787473075081159,-7.787473075081159,0.0,2,tortuga100k_noise_white_1.00e-02
29,53.51458430290222,0.0,0.007575511932373047,0.0,,100,rbf,10,1,"{'gamma': 1, 'k': 100, 'kernel': 'rbf', 's': 10}",-7.787473075081159,-7.787473075081159,0.0,2,tortuga100k_noise_white_1.00e-02
30,159.50182366371155,0.0,0.005026102066040039,0.0,,100,rbf,0,1,"{'gamma': 1, 'k': 100, 'kernel': 'rbf', 's': 0}",-15.434732690859343,-15.434732690859343,0.0,29,tortuga100k_noise_white_1.00e-02
31,40.6745331287384,0.0,0.007924318313598633,0.0,,30,rbf,,3,"{'gamma': 3, 'k': 30, 'kernel': 'rbf', 's': None}",-17.47080158149653,-17.47080158149653,0.0,38,tortuga100k_noise_white_1.00e-02
32,38.75448989868164,0.0,0.007727861404418945,0.0,,30,rbf,10,3,"{'gamma': 3, 'k': 30, 'kernel': 'rbf', 's': 10}",-17.47080158149653,-17.47080158149653,0.0,38,tortuga100k_noise_white_1.00e-02
33,38.34041666984558,0.0,0.006678104400634766,0.0,,30,rbf,0,3,"{'gamma': 3, 'k': 30, 'kernel': 'rbf', 's': 0}",-17.47080158149653,-17.47080158149653,0.0,38,tortuga100k_noise_white_1.00e-02
34,42.63528871536255,0.0,0.006695270538330078,0.0,,50,rbf,,3,"{'gamma': 3, 'k': 50, 'kernel': 'rbf', 's': None}",-10.360757166268753,-10.360757166268753,0.0,19,tortuga100k_noise_white_1.00e-02
